mineral,name,key,type,internationalCompanyName,officeCountry,oreOutputs,oreUnits,grossRevenues,netProfit,totalTax,CSR,CSRpercent	
chrome,Apple Bridge Investements,applebri,Local Company (GoZ),,Zimbabwe,194546,kg,10417447.88,,,0
chrome,Zimasco,zimasco,,Sinosteel Corporation,China,117480.71,kg,5210439.78,,,344000,0
